Abandon,"Carefree, freedom from constraint",No restrain,Withdraw,To put an end to
Abase,"To lower in rank,office, prestige or esteem",,,
Abash,To destroy the self-concidence or embarras,,,
Abate,To reduce in degree or intensity,To reduce in amount or value,To put an end to,
Abbreviate,To make briefer (Laugh out loud to LOL),,,
Abdicate,Renounce a throne or position of power,,,
Aberrant,Depart from the usual or natural type  (Abnormal),,,
Abet,To assist or support,To encourage,,
Abeyance,Temporary inactivity,,,
Abhor,Extreme repugnance or disgusted,,,
